Date,Talento y Compromiso
2006-08,299
2006-09,293
2006-10,253
2006-11,399
2006-12,1038
2007-01,1022
2007-02,245
2007-03,265
2007-04,281
2007-05,331
2007-06,354
2007-07,320
2007-08,345
2007-09,334
2007-10,288
2007-11,341
2007-12,1377
2008-01,1280
2008-02,295
2008-03,326
2008-04,349
2008-05,312
2008-06,335
2008-07,304
2008-08,393
2008-09,435
2008-10,402
2008-11,401
2008-12,1467
2009-01,1347
2009-02,341
2009-03,378
2009-04,333
2009-05,364
2009-06,418
2009-07,325
2009-08,449
2009-09,507
2009-10,368
2009-11,543
2009-12,1875
2010-01,1741
2010-02,363
2010-03,415
2010-04,389
2010-05,418
2010-06,485
2010-07,470
2010-08,526
2010-09,418
2010-10,436
2010-11,514
2010-12,1872
2011-01,1749
2011-02,455
2011-03,495
2011-04,505
2011-05,513
2011-06,628
2011-07,440
2011-08,588
2011-09,602
2011-10,505
2011-11,580
2011-12,2393
2012-01,2445
2012-02,462
2012-03,533
2012-04,516
2012-05,620
2012-06,885
2012-07,673
2012-08,592
2012-09,703
2012-10,595
2012-11,644
2012-12,2903
2013-01,2770
2013-02,563
2013-03,595
2013-04,636
2013-05,676
2013-06,721
2013-07,695
2013-08,633
2013-09,790
2013-10,821
2013-11,695
2013-12,3065
2014-01,2853
2014-02,541
2014-03,700
2014-04,657
2014-05,777
2014-06,929
2014-07,744
2014-08,713
2014-09,849
2014-10,827
2014-11,887
2014-12,3509
2015-01,3267
2015-02,758
2015-03,914
2015-04,955
2015-05,882
2015-06,977
2015-07,820
2015-08,823
2015-09,930
2015-10,867
2015-11,871
2015-12,4102
2016-01,3852
2016-02,760
2016-03,829
2016-04,926
2016-05,922
2016-06,1077
2016-07,1050
2016-08,999
2016-09,1182
2016-10,1081
2016-11,1153
2016-12,4042
2017-01,3701
2017-02,1050
2017-03,1141
2017-04,1021
2017-05,1041
2017-06,1477
2017-07,1497
2017-08,1283
2017-09,1408
2017-10,1273
2017-11,1459
2017-12,4519
2018-01,4214
2018-02,1113
2018-03,1200
2018-04,1320
2018-05,1369
2018-06,1433
2018-07,1630
2018-08,1486
2018-09,1491
2018-10,1583
2018-11,1415
2018-12,5772
2019-01,5398
2019-02,1427
2019-03,1468
2019-04,1337
2019-05,1568
2019-06,1973
2019-07,1751
2019-08,1588
2019-09,1706
2019-10,1699
2019-11,2025
2019-12,6631
2020-01,5974
2020-02,1541
2020-03,1759
2020-04,1505
2020-05,1629
2020-06,2159
2020-07,1965
2020-08,1894
2020-09,1897
2020-10,2031
2020-11,2120
2020-12,7998
2021-01,6429
2021-02,1579
2021-03,2087
2021-04,1904
2021-05,2027
2021-06,2129
2021-07,1950
2021-08,2010
2021-09,2185
2021-10,1989
2021-11,2150
2021-12,8029
2022-01,7266
2022-02,1637
2022-03,2182
2022-04,1923
2022-05,2060
2022-06,2849
2022-07,2539
2022-08,2533
2022-09,2426
2022-10,2151
2022-11,2495
2022-12,9118
2023-01,7996
2023-02,2135
2023-03,2708
2023-04,2261
2023-05,2462
2023-06,3387
2023-07,2676
2023-08,2828
2023-09,2934
2023-10,2853
2023-11,3098
2023-12,10561
2024-01,9422
2024-02,2664
2024-03,2936
2024-04,2601
2024-05,3281
2024-06,3665
2024-07,3627
2024-08,3452
2024-09,3565
2024-10,3369
2024-11,3262
2024-12,5534
2025-01,4015
2025-02,2414
2025-03,1219
