Date,Talento y Compromiso
1962-02,1
1962-03,4
1962-04,3
1962-05,0
1962-06,4
1962-07,5
1962-08,0
1962-09,5
1962-10,2
1962-11,1
1962-12,6
1963-01,7
1963-02,3
1963-03,6
1963-04,5
1963-05,5
1963-06,5
1963-07,4
1963-08,2
1963-09,6
1963-10,3
1963-11,0
1963-12,7
1964-01,4
1964-02,2
1964-03,3
1964-04,0
1964-05,2
1964-06,3
1964-07,7
1964-08,1
1964-09,4
1964-10,4
1964-11,1
1964-12,7
1965-01,7
1965-02,0
1965-03,3
1965-04,6
1965-05,0
1965-06,1
1965-07,1
1965-08,1
1965-09,1
1965-10,1
1965-11,1
1965-12,4
1966-01,9
1966-02,3
1966-03,4
1966-04,3
1966-05,3
1966-06,2
1966-07,15
1966-08,0
1966-09,11
1966-10,8
1966-11,1
1966-12,14
1967-01,14
1967-02,8
1967-03,6
1967-04,7
1967-05,10
1967-06,3
1967-07,3
1967-08,7
1967-09,4
1967-10,4
1967-11,8
1967-12,8
1968-01,9
1968-02,11
1968-03,7
1968-04,5
1968-05,6
1968-06,5
1968-07,6
1968-08,8
1968-09,5
1968-10,4
1968-11,8
1968-12,7
1969-01,6
1969-02,11
1969-03,6
1969-04,2
1969-05,10
1969-06,3
1969-07,4
1969-08,14
1969-09,9
1969-10,9
1969-11,8
1969-12,17
1970-01,89
1970-02,4
1970-03,18
1970-04,6
1970-05,8
1970-06,9
1970-07,16
1970-08,6
1970-09,11
1970-10,8
1970-11,9
1970-12,7
1971-01,13
1971-02,3
1971-03,18
1971-04,5
1971-05,11
1971-06,5
1971-07,11
1971-08,3
1971-09,13
1971-10,5
1971-11,9
1971-12,5
1972-01,11
1972-02,18
1972-03,6
1972-04,16
1972-05,6
1972-06,16
1972-07,7
1972-08,23
1972-09,4
1972-10,12
1972-11,5
1972-12,22
1973-01,6
1973-02,18
1973-03,13
1973-04,20
1973-05,3
1973-06,20
1973-07,6
1973-08,17
1973-09,7
1973-10,23
1973-11,4
1973-12,22
1974-01,14
1974-02,13
1974-03,11
1974-04,19
1974-05,5
1974-06,15
1974-07,9
1974-08,18
1974-09,9
1974-10,17
1974-11,4
1974-12,19
1975-01,10
1975-02,9
1975-03,12
1975-04,21
1975-05,9
1975-06,24
1975-07,7
1975-08,23
1975-09,12
1975-10,22
1975-11,8
1975-12,34
1976-01,20
1976-02,14
1976-03,8
1976-04,39
1976-05,0
1976-06,22
1976-07,8
1976-08,26
1976-09,8
1976-10,21
1976-11,5
1976-12,29
1977-01,13
1977-02,21
1977-03,12
1977-04,19
1977-05,10
1977-06,32
1977-07,6
1977-08,23
1977-09,11
1977-10,15
1977-11,5
1977-12,31
1978-01,14
1978-02,15
1978-03,12
1978-04,18
1978-05,7
1978-06,22
1978-07,10
1978-08,26
1978-09,16
1978-10,22
1978-11,13
1978-12,69
1979-01,29
1979-02,28
1979-03,27
1979-04,29
1979-05,8
1979-06,27
1979-07,15
1979-08,24
1979-09,17
1979-10,27
1979-11,5
1979-12,31
1980-01,20
1980-02,20
1980-03,27
1980-04,26
1980-05,13
1980-06,30
1980-07,14
1980-08,24
1980-09,24
1980-10,24
1980-11,3
1980-12,46
1981-01,17
1981-02,25
1981-03,35
1981-04,30
1981-05,13
1981-06,51
1981-07,19
1981-08,24
1981-09,26
1981-10,32
1981-11,5
1981-12,39
1982-01,28
1982-02,24
1982-03,29
1982-04,26
1982-05,19
1982-06,24
1982-07,10
1982-08,23
1982-09,22
1982-10,32
1982-11,12
1982-12,59
1983-01,32
1983-02,27
1983-03,27
1983-04,29
1983-05,20
1983-06,35
1983-07,20
1983-08,27
1983-09,37
1983-10,45
1983-11,10
1983-12,26
1984-01,35
1984-02,22
1984-03,16
1984-04,32
1984-05,29
1984-06,33
1984-07,14
1984-08,21
1984-09,29
1984-10,27
1984-11,11
1984-12,40
1985-01,49
1985-02,14
1985-03,35
1985-04,25
1985-05,23
1985-06,32
1985-07,22
1985-08,19
1985-09,32
1985-10,45
1985-11,23
1985-12,33
1986-01,29
1986-02,25
1986-03,15
1986-04,44
1986-05,21
1986-06,47
1986-07,19
1986-08,25
1986-09,31
1986-10,29
1986-11,23
1986-12,31
1987-01,45
1987-02,23
1987-03,37
1987-04,38
1987-05,20
1987-06,29
1987-07,48
1987-08,17
1987-09,43
1987-10,29
1987-11,25
1987-12,42
1988-01,82
1988-02,35
1988-03,48
1988-04,36
1988-05,16
1988-06,56
1988-07,27
1988-08,48
1988-09,46
1988-10,35
1988-11,19
1988-12,109
1989-01,73
1989-02,43
1989-03,57
1989-04,43
1989-05,33
1989-06,55
1989-07,22
1989-08,72
1989-09,42
1989-10,43
1989-11,21
1989-12,43
1990-01,97
1990-02,50
1990-03,61
1990-04,36
1990-05,35
1990-06,86
1990-07,35
1990-08,37
1990-09,52
1990-10,56
1990-11,20
1990-12,63
1991-01,75
1991-02,31
1991-03,78
1991-04,61
1991-05,35
1991-06,53
1991-07,33
1991-08,20
1991-09,68
1991-10,32
1991-11,23
1991-12,152
1992-01,62
1992-02,47
1992-03,111
1992-04,56
1992-05,32
1992-06,75
1992-07,38
1992-08,14
1992-09,79
1992-10,29
1992-11,32
1992-12,97
1993-01,87
1993-02,44
1993-03,75
1993-04,60
1993-05,44
1993-06,56
1993-07,44
1993-08,37
1993-09,78
1993-10,43
1993-11,70
1993-12,86
1994-01,91
1994-02,45
1994-03,81
1994-04,44
1994-05,24
1994-06,84
1994-07,41
1994-08,39
1994-09,70
1994-10,63
1994-11,30
1994-12,101
1995-01,77
1995-02,39
1995-03,91
1995-04,55
1995-05,48
1995-06,88
1995-07,46
1995-08,40
1995-09,105
1995-10,40
1995-11,63
1995-12,89
1996-01,76
1996-02,55
1996-03,78
1996-04,77
1996-05,49
1996-06,93
1996-07,61
1996-08,38
1996-09,99
1996-10,44
1996-11,32
1996-12,88
1997-01,150
1997-02,53
1997-03,71
1997-04,68
1997-05,56
1997-06,73
1997-07,43
1997-08,42
1997-09,53
1997-10,84
1997-11,36
1997-12,93
1998-01,113
1998-02,49
1998-03,81
1998-04,76
1998-05,38
1998-06,80
1998-07,66
1998-08,49
1998-09,71
1998-10,55
1998-11,35
1998-12,132
1999-01,156
1999-02,53
1999-03,97
1999-04,67
1999-05,52
1999-06,107
1999-07,64
1999-08,46
1999-09,90
1999-10,80
1999-11,44
1999-12,103
2000-01,203
2000-02,115
2000-03,90
2000-04,73
2000-05,62
2000-06,95
2000-07,72
2000-08,71
2000-09,117
2000-10,75
2000-11,44
2000-12,119
2001-01,195
2001-02,62
2001-03,126
2001-04,63
2001-05,66
2001-06,116
2001-07,66
2001-08,72
2001-09,166
2001-10,69
2001-11,47
2001-12,214
2002-01,215
2002-02,62
2002-03,132
2002-04,113
2002-05,91
2002-06,139
2002-07,65
2002-08,72
2002-09,127
2002-10,94
2002-11,62
2002-12,199
2003-01,177
2003-02,93
2003-03,125
2003-04,76
2003-05,71
2003-06,136
2003-07,88
2003-08,86
2003-09,121
2003-10,85
2003-11,86
2003-12,142
2004-01,186
2004-02,93
2004-03,148
2004-04,125
2004-05,80
2004-06,193
2004-07,110
2004-08,139
2004-09,155
2004-10,101
2004-11,109
2004-12,171
2005-01,170
2005-02,103
2005-03,143
2005-04,174
2005-05,101
2005-06,145
2005-07,128
2005-08,110
2005-09,160
2005-10,119
2005-11,103
2005-12,144
2006-01,288
2006-02,119
2006-03,207
2006-04,146
2006-05,132
2006-06,166
2006-07,139
2006-08,164
2006-09,184
2006-10,156
2006-11,288
2006-12,166
2007-01,285
2007-02,135
2007-03,177
2007-04,178
2007-05,191
2007-06,249
2007-07,200
2007-08,216
2007-09,208
2007-10,201
2007-11,163
2007-12,269
2008-01,358
2008-02,172
2008-03,223
2008-04,237
2008-05,187
2008-06,224
2008-07,196
2008-08,205
2008-09,318
2008-10,329
2008-11,206
2008-12,334
2009-01,330
2009-02,216
2009-03,260
2009-04,232
2009-05,226
2009-06,294
2009-07,219
2009-08,272
2009-09,388
2009-10,234
2009-11,364
2009-12,350
2010-01,419
2010-02,203
2010-03,301
2010-04,285
2010-05,253
2010-06,341
2010-07,309
2010-08,366
2010-09,289
2010-10,285
2010-11,326
2010-12,397
2011-01,452
2011-02,269
2011-03,341
2011-04,341
2011-05,293
2011-06,470
2011-07,273
2011-08,360
2011-09,416
2011-10,380
2011-11,380
2011-12,509
2012-01,850
2012-02,285
2012-03,376
2012-04,361
2012-05,351
2012-06,521
2012-07,593
2012-08,341
2012-09,491
2012-10,448
2012-11,427
2012-12,530
2013-01,770
2013-02,357
2013-03,414
2013-04,478
2013-05,459
2013-06,477
2013-07,551
2013-08,362
2013-09,573
2013-10,628
2013-11,455
2013-12,624
2014-01,868
2014-02,330
2014-03,510
2014-04,526
2014-05,530
2014-06,730
2014-07,601
2014-08,478
2014-09,640
2014-10,650
2014-11,587
2014-12,771
2015-01,908
2015-02,531
2015-03,641
2015-04,731
2015-05,608
2015-06,678
2015-07,652
2015-08,589
2015-09,706
2015-10,678
2015-11,578
2015-12,822
2016-01,972
2016-02,564
2016-03,611
2016-04,781
2016-05,634
2016-06,838
2016-07,865
2016-08,673
2016-09,906
2016-10,812
2016-11,840
2016-12,1045
2017-01,760
2017-02,747
2017-03,916
2017-04,822
2017-05,798
2017-06,1196
2017-07,1033
2017-08,1046
2017-09,1105
2017-10,1014
2017-11,1121
2017-12,1136
2018-01,998
2018-02,831
2018-03,904
2018-04,1085
2018-05,1055
2018-06,1117
2018-07,1167
2018-08,1172
2018-09,1107
2018-10,1260
2018-11,1093
2018-12,1471
2019-01,1295
2019-02,1080
2019-03,1136
2019-04,1063
2019-05,1184
2019-06,1583
2019-07,1286
2019-08,1316
2019-09,1341
2019-10,1300
2019-11,1644
2019-12,1934
2020-01,1451
2020-02,1157
2020-03,1452
2020-04,1238
2020-05,1216
2020-06,1802
2020-07,1537
2020-08,1511
2020-09,1525
2020-10,1716
2020-11,1588
2020-12,2780
2021-01,1453
2021-02,1199
2021-03,1735
2021-04,1607
2021-05,1633
2021-06,1802
2021-07,1525
2021-08,1672
2021-09,1822
2021-10,1702
2021-11,1620
2021-12,2313
2022-01,1761
2022-02,1244
2022-03,1870
2022-04,1681
2022-05,1664
2022-06,2485
2022-07,1952
2022-08,2092
2022-09,2102
2022-10,1784
2022-11,2006
2022-12,2976
2023-01,2051
2023-02,1737
2023-03,2409
2023-04,1969
2023-05,2026
2023-06,3053
2023-07,2072
2023-08,2442
2023-09,2547
2023-10,2445
2023-11,2445
2023-12,3401
2024-01,2491
2024-02,2180
2024-03,2541
2024-04,2251
2024-05,2807
2024-06,3018
2024-07,2914
2024-08,3002
2024-09,3005
2024-10,2927
2024-11,2588
2024-12,3793
2025-01,2443
2025-02,1682
