Date,Innovación Colaborativa
1983-04,48
1983-05,12
1983-06,26
1983-07,55
1983-08,22
1983-09,20
1983-10,49
1983-11,17
1983-12,31
1984-01,92
1984-02,15
1984-03,19
1984-04,66
1984-05,32
1984-06,34
1984-07,61
1984-08,11
1984-09,31
1984-10,65
1984-11,24
1984-12,42
1985-01,105
1985-02,28
1985-03,41
1985-04,74
1985-05,17
1985-06,43
1985-07,86
1985-08,25
1985-09,48
1985-10,90
1985-11,15
1985-12,69
1986-01,111
1986-02,10
1986-03,38
1986-04,68
1986-05,17
1986-06,44
1986-07,62
1986-08,19
1986-09,54
1986-10,56
1986-11,13
1986-12,69
1987-01,80
1987-02,18
1987-03,45
1987-04,25
1987-05,16
1987-06,61
1987-07,28
1987-08,28
1987-09,52
1987-10,20
1987-11,39
1987-12,105
1988-01,93
1988-02,16
1988-03,70
1988-04,32
1988-05,20
1988-06,72
1988-07,36
1988-08,19
1988-09,48
1988-10,48
1988-11,14
1988-12,112
1989-01,102
1989-02,21
1989-03,90
1989-04,33
1989-05,28
1989-06,44
1989-07,42
1989-08,29
1989-09,65
1989-10,46
1989-11,19
1989-12,266
1990-01,114
1990-02,25
1990-03,96
1990-04,46
1990-05,34
1990-06,88
1990-07,56
1990-08,24
1990-09,107
1990-10,34
1990-11,22
1990-12,158
1991-01,101
1991-02,17
1991-03,84
1991-04,52
1991-05,37
1991-06,82
1991-07,67
1991-08,26
1991-09,71
1991-10,37
1991-11,36
1991-12,182
1992-01,140
1992-02,48
1992-03,128
1992-04,40
1992-05,34
1992-06,108
1992-07,32
1992-08,42
1992-09,106
1992-10,34
1992-11,18
1992-12,138
1993-01,125
1993-02,43
1993-03,105
1993-04,71
1993-05,59
1993-06,134
1993-07,36
1993-08,41
1993-09,118
1993-10,51
1993-11,63
1993-12,114
1994-01,168
1994-02,29
1994-03,170
1994-04,51
1994-05,71
1994-06,148
1994-07,44
1994-08,32
1994-09,126
1994-10,60
1994-11,86
1994-12,95
1995-01,254
1995-02,83
1995-03,141
1995-04,57
1995-05,55
1995-06,150
1995-07,75
1995-08,42
1995-09,160
1995-10,56
1995-11,87
1995-12,115
1996-01,236
1996-02,69
1996-03,147
1996-04,48
1996-05,74
1996-06,146
1996-07,105
1996-08,71
1996-09,128
1996-10,75
1996-11,77
1996-12,145
1997-01,140
1997-02,50
1997-03,154
1997-04,95
1997-05,112
1997-06,118
1997-07,52
1997-08,50
1997-09,114
1997-10,115
1997-11,88
1997-12,119
1998-01,202
1998-02,69
1998-03,184
1998-04,104
1998-05,99
1998-06,126
1998-07,81
1998-08,83
1998-09,178
1998-10,81
1998-11,114
1998-12,138
1999-01,208
1999-02,66
1999-03,154
1999-04,100
1999-05,74
1999-06,223
1999-07,114
1999-08,64
1999-09,152
1999-10,62
1999-11,97
1999-12,205
2000-01,250
2000-02,72
2000-03,162
2000-04,150
2000-05,81
2000-06,183
2000-07,206
2000-08,132
2000-09,180
2000-10,152
2000-11,123
2000-12,252
2001-01,245
2001-02,86
2001-03,250
2001-04,180
2001-05,88
2001-06,407
2001-07,119
2001-08,121
2001-09,244
2001-10,117
2001-11,83
2001-12,313
2002-01,369
2002-02,98
2002-03,259
2002-04,144
2002-05,178
2002-06,290
2002-07,159
2002-08,157
2002-09,267
2002-10,152
2002-11,133
2002-12,365
2003-01,276
2003-02,165
2003-03,235
2003-04,166
2003-05,156
2003-06,280
2003-07,165
2003-08,281
2003-09,428
2003-10,199
2003-11,117
2003-12,310
2004-01,240
2004-02,152
2004-03,312
2004-04,221
2004-05,150
2004-06,411
2004-07,144
2004-08,260
2004-09,300
2004-10,205
2004-11,187
2004-12,315
2005-01,419
2005-02,180
2005-03,268
2005-04,171
2005-05,167
2005-06,499
2005-07,175
2005-08,236
2005-09,320
2005-10,276
2005-11,248
2005-12,378
2006-01,697
2006-02,251
2006-03,333
2006-04,234
2006-05,268
2006-06,778
2006-07,333
2006-08,325
2006-09,397
2006-10,413
2006-11,228
2006-12,390
2007-01,444
2007-02,304
2007-03,468
2007-04,324
2007-05,286
2007-06,516
2007-07,315
2007-08,519
2007-09,312
2007-10,412
2007-11,257
2007-12,656
2008-01,641
2008-02,301
2008-03,424
2008-04,370
2008-05,364
2008-06,553
2008-07,386
2008-08,266
2008-09,1132
2008-10,539
2008-11,346
2008-12,908
2009-01,645
2009-02,443
2009-03,374
2009-04,410
2009-05,387
2009-06,544
2009-07,754
2009-08,494
2009-09,602
2009-10,717
2009-11,565
2009-12,730
2010-01,825
2010-02,365
2010-03,647
2010-04,539
2010-05,568
2010-06,799
2010-07,565
2010-08,659
2010-09,560
2010-10,734
2010-11,1430
2010-12,833
2011-01,970
2011-02,652
2011-03,803
2011-04,733
2011-05,793
2011-06,978
2011-07,1026
2011-08,863
2011-09,797
2011-10,873
2011-11,1446
2011-12,1035
2012-01,1639
2012-02,780
2012-03,858
2012-04,744
2012-05,1005
2012-06,1082
2012-07,1199
2012-08,768
2012-09,1010
2012-10,1421
2012-11,1737
2012-12,1512
2013-01,1497
2013-02,781
2013-03,1044
2013-04,1048
2013-05,1103
2013-06,1336
2013-07,1465
2013-08,1112
2013-09,1394
2013-10,2029
2013-11,2279
2013-12,1837
2014-01,1841
2014-02,1017
2014-03,1245
2014-04,1433
2014-05,1186
2014-06,1482
2014-07,1538
2014-08,1484
2014-09,2123
2014-10,2325
2014-11,2107
2014-12,2724
2015-01,2778
2015-02,1847
2015-03,2211
2015-04,2113
2015-05,2127
2015-06,2273
2015-07,2420
2015-08,2169
2015-09,2398
2015-10,3168
2015-11,2859
2015-12,3134
2016-01,3128
2016-02,2464
2016-03,2713
2016-04,2638
2016-05,3009
2016-06,3175
2016-07,3089
2016-08,2667
2016-09,3479
2016-10,3102
2016-11,3461
2016-12,3679
2017-01,3294
2017-02,2833
2017-03,3208
2017-04,3039
2017-05,4068
2017-06,8732
2017-07,3497
2017-08,3761
2017-09,3928
2017-10,4041
2017-11,3922
2017-12,4583
2018-01,4476
2018-02,3786
2018-03,4023
2018-04,3849
2018-05,4225
2018-06,4837
2018-07,4468
2018-08,4424
2018-09,4647
2018-10,5695
2018-11,8478
2018-12,5938
2019-01,5422
2019-02,4663
2019-03,5194
2019-04,5633
2019-05,5075
2019-06,5565
2019-07,5767
2019-08,5566
2019-09,5930
2019-10,6248
2019-11,9836
2019-12,7395
2020-01,6473
2020-02,5482
2020-03,5861
2020-04,5550
2020-05,6255
2020-06,7029
2020-07,6649
2020-08,6431
2020-09,7087
2020-10,7118
2020-11,7669
2020-12,12544
2021-01,7600
2021-02,6217
2021-03,6518
2021-04,6058
2021-05,6076
2021-06,7042
2021-07,6257
2021-08,7163
2021-09,7460
2021-10,7617
2021-11,7649
2021-12,11917
2022-01,7288
2022-02,6306
2022-03,7629
2022-04,6758
2022-05,7940
2022-06,9557
2022-07,8275
2022-08,9079
2022-09,9626
2022-10,9365
2022-11,12479
2022-12,11568
2023-01,9769
2023-02,8194
2023-03,10085
2023-04,8306
2023-05,8874
2023-06,10143
2023-07,8980
2023-08,9528
2023-09,9585
2023-10,9956
2023-11,10357
2023-12,15801
2024-01,10528
2024-02,9279
2024-03,10804
2024-04,10169
2024-05,10389
2024-06,11314
2024-07,11279
2024-08,10637
2024-09,11081
2024-10,12072
2024-11,11871
2024-12,17849
2025-01,10823
2025-02,10200
2025-03,3794
