Herramienta,DOI,Source,Notes,Links,Keywords
Gestión de la Cadena de Suministro,10.5281/zenodo.15339318,BAIN_Ind_Satisfacción,"GESTIÓN DE LA CADENA DE SUMINISTRO

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de herramientas de planificación logística con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, especialistas en logística, operaciones y gestión de la cadena de suministro que buscan validar la efectividad de las estrategias implementadas en la cadena

**Limitaciones:** El índice de satisfacción es subjetivo y puede estar influenciado por el sesgo de deseabilidad social y autoinforme; la interpretación puede variar entre los encuestados; la terminología puede haber evolucionado y afectar la consistencia longitudinal; y la métrica no mide resultados objetivos ni impacto real

Fuente: Bain Satisfaccion. Rigby (2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339318",,"Supply Chain Integration, Supply Chain Management"
Gestión de la Cadena de Suministro,10.5281/zenodo.15339318,Crossref,"GESTIÓN DE LA CADENA DE SUMINISTRO

**Perfil de Usuarios:** Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales

**Limitaciones:** Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales

Fuente y DOI: https://search.crossref.org/search/works?q=(%22supply+chain+management%22+OR+%22supply+chain+integration%22+OR+%22supply+chain%22)+AND+(%22management%22+OR+%22strategy%22+OR+%22planning%22+OR+%22logistics%22)&from_ui=yes 10.5281/zenodo.15339318",https://search.crossref.org/search/works?q=(%22supply+chain+management%22+OR+%22supply+chain+integration%22+OR+%22supply+chain%22)+AND+(%22management%22+OR+%22strategy%22+OR+%22planning%22+OR+%22logistics%22)&from_ui=yes,"(""supply chain management"" OR ""supply chain integration"" OR ""supply chain"") AND (""management"" OR ""strategy"" OR ""planning"" OR ""logistics"" OR ""implementation"" OR ""optimization"" OR ""approach"" OR ""system"" OR ""practice"")"
Planificación de Escenarios,10.5281/zenodo.15339320,Google_Trends,"PLANIFICACIÓN DE ESCENARIOS

**Perfil de Usuarios:** Refleja interés público, popularidad de búsqueda y tendencias emergentes en tiempo real en un perfil de usuarios heterogéneos: investigadores, periodistas, profesionales del marketing, empresarios y usuarios generales

**Limitaciones:** No hay correlación directa entre interés en búsquedas e implementación efectiva en organizaciones. La evolución terminológica puede afectar la coherencia longitudinal

Fuente y DOI: https://trends.google.com/trends/explore?date=all&q=%22scenario%20planning%22+%2B+%22scenario%20analysis%22+%2B+%22contingency%20planning%22+%2B+%22scenario%20planning%20business%22&hl=es 10.5281/zenodo.15339320",https://trends.google.com/trends/explore?date=all&q=%22scenario%20planning%22+%2B+%22scenario%20analysis%22+%2B+%22contingency%20planning%22+%2B+%22scenario%20planning%20business%22&hl=es,"""scenario planning"" + ""scenario analysis"" + ""contingency planning"" + ""scenario planning business"""
Planificación de Escenarios,10.5281/zenodo.15339320,Google_Books,"PLANIFICACIÓN DE ESCENARIOS

**Perfil de Usuarios:** Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento

**Limitaciones:** Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal

Fuente y DOI: https://books.google.com/ngrams/graph?content=Scenario+Planning+%2B+Scenario+Analysis+%2B+Contingency+Planning+%2B+Scenario+and+Contingency+Planning&year_start=1950&year_end=2022&corpus=en&smoothing=0 10.5281/zenodo.15339320",https://books.google.com/ngrams/graph?content=Scenario+Planning+%2B+Scenario+Analysis+%2B+Contingency+Planning+%2B+Scenario+and+Contingency+Planning&year_start=1950&year_end=2022&corpus=en&smoothing=0,Scenario Planning + Scenario Analysis + Contingency Planning + Scenario and Contingency Planning
Planificación de Escenarios,10.5281/zenodo.15339320,IC,,https://doi.org/10.5281/zenodo.15339320,
Planificación de Escenarios,10.5281/zenodo.15339320,BAIN_Ind_Usabilidad,"PLANIFICACIÓN DE ESCENARIOS

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de herramientas de análisis estratégico con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, analistas, estrategas y planificadores de negocio que buscan anticipar riesgos y oportunidades futuras mediante la simulación de escenarios

**Limitaciones:** La variabilidad en el tamaño de la muestra entre los años puede afectar la comparabilidad; el sesgo de selección y autoinforme puede influir en las respuestas; la evolución terminológica puede afectar la consistencia longitudinal; y la medición del uso es un indicador relativo, no absoluto, de la efectividad

Fuente: Bain Usabilidad. Rigby (1994, 2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339320",,"Scenario Planning, Scenario and Contingency Planning, Scenario Analysis and Contingency Planning"
Planificación de Escenarios,10.5281/zenodo.15339320,BAIN_Ind_Satisfacción,"PLANIFICACIÓN DE ESCENARIOS

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de herramientas de análisis estratégico con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, analistas, estrategas y planificadores de negocio que buscan validar la eficacia de sus procesos de planificación de escenarios para la toma de decisiones

**Limitaciones:** El índice de satisfacción es subjetivo y puede estar influenciado por el sesgo de deseabilidad social y autoinforme; la interpretación puede variar entre los encuestados; la terminología puede haber evolucionado y afectar la consistencia longitudinal; y la métrica no mide resultados objetivos ni impacto real

Fuente: Bain Satisfaccion. Rigby (1994, 2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339320",,"Scenario Planning, Scenario and Contingency Planning, Scenario Analysis and Contingency Planning"
Planificación de Escenarios,10.5281/zenodo.15339320,Crossref,"PLANIFICACIÓN DE ESCENARIOS

**Perfil de Usuarios:** Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales

**Limitaciones:** Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales

Fuente y DOI: https://search.crossref.org/search/works?q=(%22scenario+planning%22+OR+%22scenario+analysis%22+OR+%22contingency+planning%22)+AND+(%22management%22+OR+%22strategic%22+OR+%22business%22)&from_ui=yes 10.5281/zenodo.15339320",https://search.crossref.org/search/works?q=(%22scenario+planning%22+OR+%22scenario+analysis%22+OR+%22contingency+planning%22)+AND+(%22management%22+OR+%22strategic%22+OR+%22business%22)&from_ui=yes,"(""scenario planning"" OR ""scenario analysis"" OR ""contingency planning"" OR ""scenario and contingency planning"") AND (""management"" OR ""strategic"" OR ""business"" OR ""planning"" OR ""implementation"" OR ""approach"" OR ""framework"")"
Planificación Estratégica,10.5281/zenodo.15339322,Google_Trends,"PLANIFICACIÓN ESTRATÉGICA

**Perfil de Usuarios:** Refleja interés público, popularidad de búsqueda y tendencias emergentes en tiempo real en un perfil de usuarios heterogéneos: investigadores, periodistas, profesionales del marketing, empresarios y usuarios generales

**Limitaciones:** No hay correlación directa entre interés en búsquedas e implementación efectiva en organizaciones. La evolución terminológica puede afectar la coherencia longitudinal

Fuente y DOI: https://trends.google.com/trends/explore?date=all&q=%22strategic%20planning%22+%2B+%22strategic%20management%22+%2B+%22strategic%20planning%20process%22&hl=es 10.5281/zenodo.15339322",https://trends.google.com/trends/explore?date=all&q=%22strategic%20planning%22+%2B+%22strategic%20management%22+%2B+%22strategic%20planning%20process%22&hl=es,"""strategic planning"" + ""strategic management"" + ""strategic planning process"""
Planificación Estratégica,10.5281/zenodo.15339322,Google_Books,"PLANIFICACIÓN ESTRATÉGICA

**Perfil de Usuarios:** Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento

**Limitaciones:** Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal

Fuente y DOI: https://books.google.com/ngrams/graph?content=Strategic+Planning+%2B+Dynamic+Strategic+Planning+%2B+Strategic+Budgeting+%2B+Strategic+Thinking+%2B+Strategic+Management&year_start=1950&year_end=2022&corpus=en&smoothing=0 10.5281/zenodo.15339322",https://books.google.com/ngrams/graph?content=Strategic+Planning+%2B+Dynamic+Strategic+Planning+%2B+Strategic+Budgeting+%2B+Strategic+Thinking+%2B+Strategic+Management&year_start=1950&year_end=2022&corpus=en&smoothing=0,Strategic Planning + Dynamic Strategic Planning + Strategic Budgeting + Strategic Thinking + Strategic Management
Planificación Estratégica,10.5281/zenodo.15339322,IC,,https://doi.org/10.5281/zenodo.15339322,
Planificación Estratégica,10.5281/zenodo.15339322,BAIN_Ind_Usabilidad,"PLANIFICACIÓN ESTRATÉGICA

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de metodologías de gestión con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, directores de planeamiento estratégico, consultores de gestión y expertos en planificación empresarial que buscan mejorar la alineación entre estrategia y ejecución

**Limitaciones:** La variabilidad en el tamaño de la muestra entre los años puede afectar la comparabilidad; el sesgo de selección y autoinforme puede influir en las respuestas; la evolución terminológica puede afectar la consistencia longitudinal; y la medición del uso es un indicador relativo, no absoluto, de la efectividad

Fuente: Bain Usabilidad. Rigby (2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339322",,"Strategic Planning, Dynamic Strategic Planning and Budgeting"
Planificación Estratégica,10.5281/zenodo.15339322,BAIN_Ind_Satisfacción,"PLANIFICACIÓN ESTRATÉGICA

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de metodologías de gestión con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, directores de planeamiento estratégico, consultores de gestión y expertos en planificación empresarial que buscan mejorar la eficacia de la planificación estratégica y su alineación con la asignación de recursos

**Limitaciones:** El índice de satisfacción es subjetivo y puede estar influenciado por el sesgo de deseabilidad social y autoinforme; la interpretación puede variar entre los encuestados; la terminología puede haber evolucionado y afectar la consistencia longitudinal; y la métrica no mide resultados objetivos ni impacto real

Fuente: Bain Satisfaccion. Rigby (2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339322",,"Strategic Planning, Dynamic Strategic Planning and Budgeting"
Planificación Estratégica,10.5281/zenodo.15339322,Crossref,"PLANIFICACIÓN ESTRATÉGICA

**Perfil de Usuarios:** Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales

**Limitaciones:** Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales

Fuente y DOI: https://search.crossref.org/search/works?q=(%22strategic+planning%22+OR+%22dynamic+strategic+planning%22+OR+%22strategic+budgeting%22)+AND+(%22management%22+OR+%22process%22+OR+%22implementation%22)+OR+%22strategic+management%22&from_ui=yes 10.5281/zenodo.15339322",https://search.crossref.org/search/works?q=(%22strategic+planning%22+OR+%22dynamic+strategic+planning%22+OR+%22strategic+budgeting%22)+AND+(%22management%22+OR+%22process%22+OR+%22implementation%22)+OR+%22strategic+management%22&from_ui=yes,"(""strategic planning"" OR ""dynamic strategic planning"" OR ""strategic budgeting"" OR ""strategic management"") AND (""management"" OR ""process"" OR ""implementation"" OR ""approach"" OR ""framework"" OR ""practice"" OR ""adoption"" OR ""evaluation"") OR ""strategic thinking"""
Experiencia del Cliente,10.5281/zenodo.15339324,Google_Trends,"EXPERIENCIA DEL CLIENTE

**Perfil de Usuarios:** Refleja interés público, popularidad de búsqueda y tendencias emergentes en tiempo real en un perfil de usuarios heterogéneos: investigadores, periodistas, profesionales del marketing, empresarios y usuarios generales

**Limitaciones:** No hay correlación directa entre interés en búsquedas e implementación efectiva en organizaciones. La evolución terminológica puede afectar la coherencia longitudinal

Fuente y DOI: https://trends.google.com/trends/explore?date=all&q=%22customer%20relationship%20management%22%20%2B%20%22customer%20experience%20management%22%20%2B%20%22customer%20satisfaction%22&hl=es 10.5281/zenodo.15339324",https://trends.google.com/trends/explore?date=all&q=%22customer%20relationship%20management%22%20%2B%20%22customer%20experience%20management%22%20%2B%20%22customer%20satisfaction%22&hl=es ,"""customer relationship management"" + ""customer experience management"" + ""customer satisfaction"""
Experiencia del Cliente,10.5281/zenodo.15339324,Google_Books,"EXPERIENCIA DEL CLIENTE

**Perfil de Usuarios:** Refleja patrones de uso del lenguaje, tendencias académicas y de publicación, e intereses en la literatura y el conocimiento registrado en libros. Usuarios típicos: investigadores, historiadores, lingüistas y otros profesionales interesados en análisis textual y evolución del pensamiento

**Limitaciones:** Representatividad restringida al subconjunto de libros digitalizados por Google Books (Ngram Viewer). Sesgos hacia obras en inglés y publicaciones de grandes editoriales, subrepresentando otros idiomas y obras de menor circulación. Evolución terminológica y cambios en las convenciones de citación pueden afectar la consistencia longitudinal

Fuente y DOI: https://books.google.com/ngrams/graph?content=Customer+Relationship+Management%2BCustomer+Experience+Management%2BCustomer+Satisfaction+Measurement%2BCustomer+Satisfaction&year_start=1950&year_end=2022&corpus=en&smoothing=0 10.5281/zenodo.15339324",https://books.google.com/ngrams/graph?content=Customer+Relationship+Management%2BCustomer+Experience+Management%2BCustomer+Satisfaction+Measurement%2BCustomer+Satisfaction&year_start=1950&year_end=2022&corpus=en&smoothing=0,Customer Relationship Management+Customer Experience Management+Customer Satisfaction Measurement+Customer Satisfaction
Experiencia del Cliente,10.5281/zenodo.15339324,IC,,https://doi.org/10.5281/zenodo.15339324,
Experiencia del Cliente,10.5281/zenodo.15339324,BAIN_Ind_Usabilidad,"EXPERIENCIA DEL CLIENTE

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de herramientas de relacionamiento con el cliente con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, especialistas en marketing, ventas y gestión de la experiencia del cliente, que buscan mejorar la satisfacción y la fidelización del cliente

**Limitaciones:** La variabilidad en el tamaño de la muestra entre los años puede afectar la comparabilidad; el sesgo de selección y autoinforme puede influir en las respuestas; la evolución terminológica puede afectar la consistencia longitudinal; y la medición del uso es un indicador relativo, no absoluto, de la efectividad

Fuente: Bain Usabilidad. Rigby (1994, 2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339324",,"Customer Satisfaction Surveys, Customer Satisfaction Measurement, Customer Relationship Management, CRM, CRM (Customer Relationship Management), Customer Experience Management"
Experiencia del Cliente,10.5281/zenodo.15339324,BAIN_Ind_Satisfacción,"EXPERIENCIA DEL CLIENTE

**Perfil de Usuarios:** Directivos de alto nivel, consultores estratégicos y profesionales de la gestión interesados en la implementación y adopción de herramientas de relacionamiento con el cliente con un enfoque en la practicidad y el uso real en el campo empresarial, buscando insights sobre las tendencias de la práctica gerencial. Además, especialistas en marketing, ventas y gestión de la experiencia del cliente, que buscan evaluar la satisfacción de los clientes con sus productos y servicios

**Limitaciones:** El índice de satisfacción es subjetivo y puede estar influenciado por el sesgo de deseabilidad social y autoinforme; la interpretación puede variar entre los encuestados; la terminología puede haber evolucionado y afectar la consistencia longitudinal; y la métrica no mide resultados objetivos ni impacto real

Fuente: Bain Satisfaccion. Rigby (1994, 2001, 2003); Rigby & Bilodeau (2005, 2007, 2009, 2011, 2013, 2015, 2017); Rigby, Bilodeau, & Ronan (2023). 10.5281/zenodo.15339324",,"Customer Satisfaction Surveys, Customer Satisfaction Measurement, Customer Relationship Management, CRM, CRM (Customer Relationship Management), Customer Experience Management"
Experiencia del Cliente,10.5281/zenodo.15339324,Crossref,"EXPERIENCIA DEL CLIENTE

**Perfil de Usuarios:** Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales

**Limitaciones:** Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales

Fuente y DOI: https://search.crossref.org/search/works?q=(%22customer+relationship+management%22+OR+%22customer+experience+management%22+OR+%22customer+satisfaction%22+OR+%22customer+satisfaction+measurement%22+OR+CRM)+AND+(%22management%22+OR+%22strategy%22+OR+%22approach%22)&from_ui=yes 10.5281/zenodo.15339324",https://search.crossref.org/search/works?q=(%22customer+relationship+management%22+OR+%22customer+experience+management%22+OR+%22customer+satisfaction%22+OR+%22customer+satisfaction+measurement%22+OR+CRM)+AND+(%22management%22+OR+%22strategy%22+OR+%22approach%22)&from_ui=yes,"(""customer relationship management"" OR ""customer experience management"" OR ""customer satisfaction"" OR ""customer satisfaction measurement"" OR CRM) AND (""management"" OR ""strategy"" OR ""approach"" OR ""system"" OR ""implementation"" OR ""evaluation"")"
Calidad Total,10.5281/zenodo.15339326,Google_Trends,"CALIDAD TOTAL

**Perfil de Usuarios:** Refleja interés público, popularidad de búsqueda y tendencias emergentes en tiempo real en un perfil de usuarios heterogéneos: investigadores, periodistas, profesionales del marketing, empresarios y usuarios generales

**Limitaciones:** No hay correlación directa entre interés en búsquedas e implementación efectiva en organizaciones. La evolución terminológica puede afectar la coherencia longitudinal

Fuente y DOI: https://trends.google.com/trends/explore?date=all&q=%22total%20quality%20management%22+%2B+TQM+%2B+%22TQM%20system%22&hl=es 10.5281/zenodo.15339326",https://trends.google.com/trends/explore?date=all&q=%22total%20quality%20management%22+%2B+TQM+%2B+%22TQM%20system%22&hl=es,"""total quality management"" + TQM + ""TQM system"""
