Nro.,Cód,Título,Herramienta,Subtítulo,Source,File
16,16.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Presupuesto Base Cero,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/16.png
17,17.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Estrategias de Crecimiento,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/17.png
18,18.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Gestión del Conocimiento,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/18.png
19,19.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Gestión del Cambio,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/19.png
20,20.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Optimización de Precios,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/20.png
21,21.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Lealtad del Cliente,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/21.png
22,22.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Innovación Colaborativa,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/22.png
23,23.0-GT,Análisis de Tendencias de Búsqueda en Google Trends para ,Talento y Compromiso,"Estudio de la evolución de la frecuencia relativa de búsquedas para identificar tendencias emergentes, picos de popularidad y cambios en el interés público",GT-Portada,GT-Portada/23.png
24,1.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Reingeniería de Procesos,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/1.png
25,2.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Gestión de la Cadena de Suministro,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/2.png
26,3.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Planificación de Escenarios,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/3.png
27,4.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Planificación Estratégica,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/4.png
28,5.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Experiencia del Cliente,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/5.png
29,6.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Calidad Total,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/6.png
30,7.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Propósito y Visión,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/7.png
31,8.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Benchmarking,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/8.png
32,9.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Competencias Centrales,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/9.png
33,10.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Cuadro de Mando Integral,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/10.png
34,11.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Alianzas y Capital de Riesgo,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/11.png
35,12.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Outsourcing,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/12.png
36,13.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Segmentación de Clientes,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/13.png
37,14.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Fusiones y Adquisiciones,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/14.png
38,15.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Gestión de Costos,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/15.png
39,16.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Presupuesto Base Cero,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/16.png
40,17.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Estrategias de Crecimiento,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/17.png
41,18.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Gestión del Conocimiento,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/18.png
42,19.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Gestión del Cambio,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/19.png
43,20.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Optimización de Precios,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/20.png
44,21.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Lealtad del Cliente,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/21.png
45,22.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Innovación Colaborativa,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/22.png
46,23.0-GB,Análisis de Frecuencia en el Corpus Literario de Google Books Ngram para ,Talento y Compromiso,"Exploración diacrónico de la frecuencia de términos en libros para identificar patrones de uso, adopción y evolución conceptual en la literatura publicada",GB-Portada,GB-Portada/23.png
47,1.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Reingeniería de Procesos,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/1.png
48,2.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Gestión de la Cadena de Suministro,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/2.png
49,3.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Planificación de Escenarios,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/3.png
50,4.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Planificación Estratégica,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/4.png
51,5.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Experiencia del Cliente,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/5.png
52,6.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Calidad Total,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/6.png
53,7.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Propósito y Visión,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/7.png
54,8.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Benchmarking,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/8.png
55,9.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Competencias Centrales,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/9.png
56,10.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Cuadro de Mando Integral,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/10.png
57,11.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Alianzas y Capital de Riesgo,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/11.png
58,12.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Outsourcing,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/12.png
59,13.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Segmentación de Clientes,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/13.png
60,14.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Fusiones y Adquisiciones,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/14.png
61,15.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Gestión de Costos,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/15.png
62,16.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Presupuesto Base Cero,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/16.png
63,17.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Estrategias de Crecimiento,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/17.png
64,18.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Gestión del Conocimiento,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/18.png
65,19.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Gestión del Cambio,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/19.png
66,20.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Optimización de Precios,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/20.png
67,21.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Lealtad del Cliente,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/21.png
68,22.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Innovación Colaborativa,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/22.png
69,23.0-CR,Análisis bibliométrico de Publicaciones Académicas Indexadas en Crossref.org para ,Talento y Compromiso,"Evaluación de la producción científica reconocida sobre adopción, difusión y uso académico en la investigación revisada por pares",CR-Portada,CR-Portada/23.png
70,1.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Reingeniería de Procesos,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/1.png
71,2.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Gestión de la Cadena de Suministro,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/2.png
72,3.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Planificación de Escenarios,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/3.png
73,4.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Planificación Estratégica,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/4.png
74,5.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Experiencia del Cliente,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/5.png
75,6.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Calidad Total,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/6.png
76,7.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Propósito y Visión,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/7.png
77,8.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Benchmarking,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/8.png
78,9.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Competencias Centrales,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/9.png
79,10.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Cuadro de Mando Integral,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/10.png
80,11.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Alianzas y Capital de Riesgo,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/11.png
81,12.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Outsourcing,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/12.png
82,13.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Segmentación de Clientes,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/13.png
83,14.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Fusiones y Adquisiciones,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/14.png
84,15.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Gestión de Costos,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/15.png
85,16.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Presupuesto Base Cero,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/16.png
86,17.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Estrategias de Crecimiento,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/17.png
87,18.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Gestión del Conocimiento,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/18.png
88,19.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Gestión del Cambio,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/19.png
89,20.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Optimización de Precios,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/20.png
90,21.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Lealtad del Cliente,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/21.png
91,22.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Innovación Colaborativa,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/22.png
92,23.0-BU,Análisis estadístico de la Tasa de adopción y usabilidad - Bain & Co - para ,Talento y Compromiso,Examen basado en respuestas de ejecutivos (encuestas Bain & Co.) para medir uso e implementación en el entorno y la práctica organizacional,BU-Portada,BU-Portada/23.png
93,1.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Reingeniería de Procesos,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/1.png
94,2.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Gestión de la Cadena de Suministro,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/2.png
95,3.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Planificación de Escenarios,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/3.png
96,4.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Planificación Estratégica,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/4.png
97,5.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Experiencia del Cliente,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/5.png
98,6.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Calidad Total,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/6.png
99,7.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Propósito y Visión,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/7.png
100,8.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Benchmarking,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/8.png
101,9.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Competencias Centrales,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/9.png
102,10.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Cuadro de Mando Integral,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/10.png
103,11.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Alianzas y Capital de Riesgo,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/11.png
104,12.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Outsourcing,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/12.png
105,13.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Segmentación de Clientes,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/13.png
106,14.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Fusiones y Adquisiciones,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/14.png
107,15.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Gestión de Costos,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/15.png
108,16.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Presupuesto Base Cero,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/16.png
109,17.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Estrategias de Crecimiento,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/17.png
110,18.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Gestión del Conocimiento,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/18.png
111,19.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Gestión del Cambio,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/19.png
112,20.0-BS,Análisis cuantitativo del Índice Perceptivo de Satisfacción - Bain & Co - para ,Optimización de Precios,Revisión del índice de satisfacción de ejecutivos (encuestas Bain & Co.) para medir la valoración subjetiva de utilidad y expectativas,BS-Portada,BS-Portada/20.png
