Fuente,Herramienta Gerencial,Grupo de Herramientas,Keywords,Link,Notas
Crossref,Alianzas y Capital de Riesgo,"Strategic Alliance, Strategic Alliances, Corporate Venture Capital","(""strategic alliance"" OR ""strategic alliances"" OR ""corporate venture capital"") AND (""management"" OR ""strategy"" OR ""corporate"" OR ""development"" OR ""partnership"" OR ""approach"" OR ""implementation"")",https://search.crossref.org/search/works?q=(%22strategic+alliance%22+OR+%22strategic+alliances%22+OR+%22corporate+venture+capital%22)+AND+(%22management%22+OR+%22strategy%22+OR+%22corporate%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Outsourcing,Outsourcing,"""outsourcing"" AND (""business process"" OR ""supply chain"" OR ""management"" OR ""contracting"" OR ""operations"" OR ""strategy"" OR ""implementation"")",https://search.crossref.org/search/works?q=%22outsourcing%22+AND+(%22business+process%22+OR+%22supply+chain%22+OR+%22management%22+OR+%22contracting%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Segmentación de Clientes,Customer Segmentation,"(""customer segmentation"" OR ""market segmentation"") AND (""marketing"" OR ""strategy"" OR ""management"" OR ""targeting"" OR ""analysis"" OR ""approach"" OR ""practice"")",https://search.crossref.org/search/works?q=(%22customer+segmentation%22+OR+%22market+segmentation%22)+AND+(%22marketing%22+OR+%22strategy%22+OR+%22management%22+OR+%22targeting%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Fusiones y Adquisiciones,"Mergers and Acquisitions, Mergers & Acquisitions","(""mergers and acquisitions"" OR ""mergers & acquisitions"") AND (""corporate"" OR ""strategy"" OR ""finance"" OR ""management"" OR ""deal"" OR ""implementation"" OR ""valuation"")",https://search.crossref.org/search/works?q=(%22mergers+and+acquisitions%22+OR+%22mergers+%26+acquisitions%22)+AND+(%22corporate%22+OR+%22strategy%22+OR+%22finance%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Gestión de Costos,"Activity-Based Costing, Activity-Based Management, Activity Based Management","(""activity based costing"" OR ""activity based management"") AND (""management"" OR ""accounting"" OR ""cost control"" OR ""financial"" OR ""analysis"" OR ""system"")",https://search.crossref.org/search/works?q=%28%22activity+based+costing%22+OR+%22activity+based+management%22%29+AND+%28%22management%22+OR+%22accounting%22+OR+%22cost+control%22+OR+%22financial%22+OR+%22analysis%22+OR+%22system%22%29&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Presupuesto Base Cero,Zero-Based Budgeting,"(""zero based budgeting"" OR ""priority based budgeting"" OR ""program budgeting"") AND (""management"" OR ""financial"" OR ""budgeting process"" OR ""planning"" OR ""control"" OR ""system"")",https://search.crossref.org/search/works?q=%28%22zero+based+budgeting%22+OR+%22priority+based+budgeting%22+OR+%22program+budgeting%22%29+AND+%28%22management%22+OR+%22financial%22+OR+%22budgeting+process%22+OR+%22planning%22+OR+%22control%22+OR+%22system%22%29&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Estrategias de Crecimiento,"Growth Strategies, Growth Strategy Tools","(""growth strategies"" OR ""growth strategy"") AND (""business"" OR ""management"" OR ""corporate"" OR ""strategy"" OR ""planning"" OR ""development"" OR ""approach"" OR ""implementation"")",https://search.crossref.org/search/works?q=(%22growth+strategies%22+OR+%22growth+strategy%22)+AND+(%22business%22+OR+%22management%22+OR+%22corporate%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Gestión del Conocimiento,Knowledge Management,"(""knowledge management"" OR ""intellectual capital management"" OR ""knowledge transfer"") AND (""organizational"" OR ""management"" OR ""learning"" OR ""innovation"" OR ""sharing"" OR ""system"")",https://search.crossref.org/search/works?q=(%22knowledge+management%22+OR+%22intellectual+capital+management%22+OR+%22knowledge+transfer%22)+AND+(%22organizational%22+OR+%22management%22+OR+%22learning%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Gestión del Cambio,Change Management Programs,"(""change management programs"" OR ""change management"") AND (""organizational"" OR ""business"" OR ""implementation"" OR ""process"" OR ""transformation"" OR ""adoption"" OR ""approach"")",https://search.crossref.org/search/works?q=(%22change+management+programs%22+OR+%22change+management%22)+AND+(%22organizational%22+OR+%22business%22+OR+%22implementation%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Optimización de Precios,Price Optimization Models,"(""price optimization"" OR ""pricing optimization"" OR ""dynamic pricing"" OR ""optimal pricing"" OR ""dynamic pricing models"") AND (""management"" OR ""strategy"" OR ""revenue"" OR ""pricing"" OR ""model"" OR ""analysis"")",https://search.crossref.org/search/works?q=(%22price+optimization%22+OR+%22pricing+optimization%22+OR+%22dynamic+pricing%22+OR+%22optimal+pricing%22)+AND+(%22management%22+OR+%22strategy%22+OR+%22revenue%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Lealtad del Cliente,Loyalty Management + Customer Loyalty + Satisfaction and Loyalty + Customer Retention,"(""loyalty management"" OR ""customer loyalty"" OR ""satisfaction and loyalty"" OR ""customer retention"") AND (""marketing"" OR ""management"" OR ""strategy"" OR ""relationship"" OR ""program"" OR ""approach"")",https://search.crossref.org/search/works?q=(%22loyalty+management%22+OR+%22customer+loyalty%22+OR+%22satisfaction+and+loyalty%22+OR+%22customer+retention%22)+AND+(%22marketing%22+OR+%22management%22+OR+%22strategy%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Innovación Colaborativa,"Open-Market Innovation, Collaborative Innovation, Open Innovation, Design Thinking","(""design thinking"" OR ""open innovation"" OR ""collaborative innovation"" OR ""market innovation"" OR ""crowdsourcing innovation"") AND (""management"" OR ""strategy"" OR ""innovation process"" OR ""development"" OR ""approach"" OR ""methodology"")",https://search.crossref.org/search/works?q=(%22design+thinking%22+OR+%22open+innovation%22+OR+%22collaborative+innovation%22+OR+%22market+innovation%22+OR+%22crowdsourcing+innovation%22)+AND+(%22management%22+OR+%22strategy%22+OR+%22innovation+process%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
Crossref,Talento y Compromiso,"Corporate Code of Ethics, Employee Engagement Surveys, Employee Engagement Systems","(""corporate code of ethics"" OR ""employee engagement"" OR ""employee engagement programs"" OR ""employee engagement surveys"") AND (""human resources"" OR ""management"" OR ""organizational"" OR ""culture"" OR ""development"" OR ""performance"")",https://search.crossref.org/search/works?q=(%22corporate+code+of+ethics%22+OR+%22employee+engagement%22+OR+%22employee+engagement+programs%22+OR+%22employee+engagement+surveys%22)+AND+(%22human+resources%22+OR+%22management%22+OR+%22organizational%22)&from_ui=yes,"$Herramienta_Gerencial: Descriptores lógicos: $KEYWORDS. Extracción de datos: $Data_Collection_Date. Parámetros de búsqueda: Marco temporal (1950-2025), campos de búsqueda: ""Título"" y ""Resumen (Abstract)"". Índice: La métrica es el número de resultados que coinciden con los descriptores en los metadatos de CrossRef. Refleja el volumen de publicaciones académicas (artículos, libros, conferencias, etc.) indexadas. Metodología: La búsqueda en metadatos de CrossRef usa operadores booleanos. Interpretación centrada en el volumen de publicaciones. Proporciona una medida cuantitativa del interés académico y las investigaciones publicadas. Perfil de Usuarios: Refleja el interés académico a través de publicaciones revisadas por pares y arbitradas, e indexadas. Usuarios típicos: investigadores, académicos, expertos, estudiantes y profesionales. Limitaciones: Dependencia de la exhaustividad y precisión de la indexación de CrossRef. Solo refleja volumen, no calidad, relevancia, impacto o citaciones. Descriptores lógicos pueden introducir sesgos. Cobertura limitada: no incluye todas las publicaciones académicas, solo su indexado. Proporciona DOI (Digital Object Identifier) y metadatos básicos, excluyendo datos bibliométricos adicionales. Fuente: $LINK"
