Herramienta Gerencial,Year,Satisfacción
Asignación y Gestión de costos,2004,3.74
Presupuesto Base Cero,2012,3.78
Presupuesto Base Cero,2014,3.72
Presupuesto Base Cero,2017,3.82
Presupuesto Base Cero,2022,4.1
Estrategias de Crecimiento,1999,3.82
Estrategias de Crecimiento,2000,3.74
Estrategias de Crecimiento,2002,3.82
Estrategias de Crecimiento,2004,3.91
Estrategias de Crecimiento,2006,3.75
Estrategias de Crecimiento,2008,3.87
Gestión del Conocimiento,1999,3.43
Gestión del Conocimiento,2000,3.22
Gestión del Conocimiento,2002,3.63
Gestión del Conocimiento,2004,3.73
Gestión del Conocimiento,2006,3.59
Gestión del Conocimiento,2008,3.66
Gestión del Conocimiento,2010,3.76
Gestión del Cambio,2002,3.8
Gestión del Cambio,2004,3.75
Gestión del Cambio,2010,3.8
Gestión del Cambio,2012,3.86
Gestión del Cambio,2014,3.69
Gestión del Cambio,2017,3.9
Gestión del Cambio,2022,4
Optimización de Precios,2004,3.87
Optimización de Precios,2008,3.75
Optimización de Precios,2010,3.86
Optimización de Precios,2012,3.78
Optimización de Precios,2014,3.87
Optimización de Precios,2017,4.06
Gestión de la Lealtad del Cliente,2004,3.67
Gestión de la Lealtad del Cliente,2006,3.59
Gestión de la Lealtad del Cliente,2008,3.79
Gestión de la Lealtad del Cliente,2010,3.92
Gestión de la Lealtad del Cliente,2012,3.86
Gestión de la Lealtad del Cliente,2014,3.86
Gestión de la Innovación Colaborativa,2004,3.7
Gestión de la Innovación Colaborativa,2006,3.72
Gestión de la Innovación Colaborativa,2008,3.71
Gestión de la Innovación Colaborativa,2010,3.81
Gestión de la Innovación Colaborativa,2012,3.93
Gestión de la Innovación Colaborativa,2022,4.2
Gestión del Talento y Compromiso de Empleados,2002,4.05
Gestión del Talento y Compromiso de Empleados,2012,3.76
Gestión del Talento y Compromiso de Empleados,2014,3.75
Gestión del Talento y Compromiso de Empleados,2017,3.87
Gestión del Talento y Compromiso de Empleados,2022,4.2
